basari_sirasi,tyt_turkce,tyt_matematik,tyt_sosyal,tyt_fen
13614.0,29.8,11.6,13.5,2.8
18422.0,31.7,13.7,12.6,2.6
17031.0,29.9,16.2,13.0,3.9
16317.0,30.2,17.6,13.0,3.2
15600.0,30.4,7.8,11.4,2.8
17036.0,29.5,9.4,14.1,1.1
17620.0,26.8,8.0,11.1,2.8
18635.0,31.8,12.8,13.5,3.1
17102.0,29.4,13.0,11.8,3.3
15062.0,29.3,6.8,12.3,5.2
12766.0,31.6,13.0,13.9,2.9
17144.0,30.2,12.3,13.3,3.7
15867.0,30.4,11.3,13.1,3.4
12868.0,31.6,11.8,14.1,3.6
13378.0,31.1,11.5,13.6,3.3
13558.0,31.0,12.7,13.1,2.7
17388.0,29.2,12.2,13.0,3.4
15520.0,29.6,12.1,12.5,2.6
16266.0,30.5,12.2,13.4,2.9
17468.0,28.9,13.4,13.2,4.2
16903.0,29.2,9.9,11.7,3.4
13282.0,30.3,14.1,12.9,5.1
17548.0,28.4,11.7,12.9,2.7
19890.0,29.0,9.7,12.6,2.8
13799.0,28.9,13.2,11.0,4.1
17566.0,30.0,12.0,11.6,6.7
13624.0,30.8,9.6,13.8,3.7
24688.0,28.5,8.1,11.1,1.2
17616.0,31.6,18.9,15.8,6.7
5852.0,31.5,18.4,15.6,11.8
14245.0,30.4,13.8,13.0,4.1
17877.0,27.6,13.3,11.1,0.8
14434.0,29.0,12.4,13.4,4.6
15572.0,31.1,12.8,13.2,4.2
17953.0,30.4,13.2,12.8,3.8
19699.0,29.9,9.6,12.2,3.0
15561.0,30.3,12.3,13.0,3.2
17965.0,28.8,11.8,13.2,3.4
17281.0,29.7,11.3,12.1,2.5
16512.0,29.5,11.5,11.5,1.3
18011.0,29.9,9.9,13.9,6.3
17318.0,27.3,14.1,12.5,1.8
13220.0,30.9,11.7,13.5,3.2
18017.0,29.5,11.0,13.0,2.7
16015.0,30.1,11.5,12.2,2.8
67971.0,13.8,5.8,5.0,4.8
18033.0,36.3,3.5,16.3,2.0
17184.0,25.5,12.7,10.1,0.5
18202.0,31.1,14.5,14.5,1.6
14028.0,27.7,26.6,9.9,3.9
17176.0,30.3,10.4,11.7,3.5
18226.0,27.6,12.0,12.8,1.9
17414.0,30.9,11.6,10.2,2.4
15283.0,30.1,10.9,12.4,3.0
18294.0,29.6,11.9,12.5,2.3
17488.0,29.0,11.1,12.3,4.5
14009.0,31.6,11.9,13.8,3.4
18399.0,30.3,11.4,13.1,3.4
17777.0,29.7,11.1,12.8,3.4
18178.0,29.5,7.6,11.8,0.4
18575.0,28.7,11.4,12.5,2.6
17820.0,28.4,11.5,8.9,5.6
16531.0,30.0,13.8,15.4,2.2
18695.0,29.3,9.1,14.1,1.2
12769.0,25.4,16.1,12.1,8.5
15252.0,30.6,9.9,12.8,2.2
18802.0,29.6,12.4,13.0,2.2
19820.0,29.3,8.1,11.7,2.3
15245.0,30.2,10.2,13.5,2.9
18950.0,28.9,11.8,12.5,3.1
18019.0,28.5,11.0,11.7,3.2
16791.0,29.1,11.0,12.1,2.9
18489.0,30.2,10.0,12.4,2.7
19055.0,27.4,12.6,12.3,2.3
22359.0,27.7,9.6,11.4,1.9
21315.0,30.1,12.5,12.5,3.4
19077.0,28.7,12.9,12.1,3.8
19518.0,29.6,9.6,11.0,1.9
18625.0,26.4,8.3,13.8,1.8
19098.0,29.8,14.5,13.4,2.2
16011.0,27.8,11.2,15.1,3.2
14011.0,30.7,11.4,12.6,2.2
19100.0,29.5,11.5,13.0,1.8
17229.0,29.8,10.0,12.7,2.9
18120.0,29.7,9.1,12.5,2.6
19179.0,28.5,9.8,12.7,2.1
18434.0,28.2,10.9,11.8,3.5
19363.0,27.7,7.0,11.8,1.8
19308.0,26.6,11.9,10.3,4.4
19816.0,26.7,9.3,12.6,5.4
18331.0,30.9,5.5,9.1,3.4
19366.0,28.5,9.3,12.3,1.3
19790.0,27.6,8.4,12.6,2.8
14370.0,31.2,9.6,13.2,2.5
19389.0,29.4,12.3,12.9,2.5
17350.0,29.3,11.6,11.8,3.1
13832.0,31.1,13.1,13.3,3.6
19582.0,30.1,12.4,13.0,2.5
17579.0,29.9,11.1,12.4,3.1
18099.0,28.8,9.1,12.0,1.0
19930.0,28.4,9.8,10.2,1.3
18084.0,27.6,12.1,9.3,2.5
18279.0,29.1,7.1,12.0,1.3
19972.0,26.5,11.0,12.3,3.5
18737.0,27.2,12.0,13.0,2.1
20044.0,25.7,8.0,13.4,3.1
16596.0,30.9,10.4,13.4,3.0
19070.0,28.8,9.0,11.9,2.1
20263.0,29.4,12.4,12.8,1.8
19541.0,27.8,8.2,11.3,2.3
19226.0,28.2,10.0,12.5,4.9
18987.0,29.4,10.1,12.9,3.2
20534.0,28.6,11.5,13.4,2.6
20439.0,28.5,10.8,12.3,3.2
17551.0,32.6,6.6,11.1,0.6000000000000001
20669.0,26.5,11.8,12.3,4.1
17925.0,26.1,17.5,12.0,2.6
14659.0,31.2,10.9,14.0,2.9
20748.0,29.2,11.4,13.1,2.8
18501.0,28.8,9.4,12.3,2.6
17495.0,30.7,9.5,13.0,2.4
20826.0,28.7,9.7,12.6,2.2
23556.0,28.3,10.9,11.6,2.7
15685.0,30.1,12.3,13.7,2.9
20860.0,29.5,10.4,12.4,1.7000000000000002
17947.0,29.2,10.6,11.7,3.5
19253.0,28.4,7.6,13.2,5.6
20956.0,27.5,13.4,12.1,3.0
18335.0,30.2,11.6,12.7,3.2
20971.0,28.6,10.5,12.6,1.6
24230.0,26.4,9.0,10.7,2.6
20621.0,29.4,9.0,11.7,2.6
21054.0,28.2,10.6,12.1,2.2
23525.0,27.2,7.7,10.7,2.5
19694.0,29.2,9.0,12.0,2.4
21055.0,28.4,12.0,12.3,2.2
20034.0,28.6,8.7,12.5,2.9
18892.0,29.7,9.0,12.6,1.8
16503.0,30.5,9.5,13.0,2.8
21311.0,29.5,10.0,12.6,1.5
19932.0,29.6,8.3,11.2,2.4
16226.0,32.0,11.8,13.3,3.2
21426.0,30.2,12.8,13.1,3.0
19758.0,29.8,10.5,12.3,3.2
19601.0,29.8,10.3,12.5,2.6
21440.0,29.0,11.4,11.9,2.7
25049.0,28.2,9.7,11.6,3.0
19099.0,29.1,9.8,13.0,3.0
21591.0,27.7,9.8,12.1,2.1
23941.0,28.3,7.1,11.2,2.0
16262.0,30.2,10.6,13.7,2.6
21812.0,28.8,10.7,12.7,2.8
19913.0,28.5,9.0,11.6,2.8
20640.0,27.8,10.3,11.3,2.1
21859.0,28.0,9.3,12.9,1.7000000000000002
19146.0,29.5,9.8,12.1,3.2
21877.0,28.0,10.8,12.1,2.5
23090.0,28.8,8.6,11.5,2.5
16804.0,30.6,9.3,13.4,3.3
21963.0,29.9,10.2,12.7,1.8
18520.0,29.6,8.6,12.5,2.9
17888.0,30.0,9.6,13.1,2.8
22050.0,29.3,9.8,12.6,2.4
23488.0,27.7,7.3,11.8,2.1
19510.0,26.4,9.5,10.9,2.6
22345.0,29.0,10.6,12.6,1.5
19321.0,26.8,8.6,10.5,2.9
20468.0,28.5,8.0,12.3,2.0
22448.0,28.7,10.1,11.6,1.9
21177.0,28.7,7.9,10.9,1.7000000000000002
20406.0,29.7,11.7,13.1,2.8
22527.0,28.6,11.4,12.4,3.8
17419.0,29.9,13.0,12.0,4.8
17350.0,29.8,8.5,13.3,3.0
22654.0,28.2,8.8,12.5,2.1
19959.0,29.4,9.1,11.8,2.6
22313.0,28.2,9.0,13.4,1.5
22761.0,27.3,6.5,10.9,1.5
17285.0,31.6,10.9,13.4,2.9
22813.0,29.0,11.5,12.2,2.5
19346.0,28.6,10.1,12.8,3.2
31013.0,28.2,6.6,12.4,0.8
22863.0,27.7,11.6,13.2,1.9
26302.0,28.3,10.9,12.4,0.8
20634.0,29.3,8.5,12.8,2.2
22910.0,28.5,8.8,12.9,2.2
22103.0,28.1,8.0,11.1,2.7
19331.0,27.5,19.2,13.5,4.0
23017.0,32.5,8.9,14.1,0.8
21408.0,32.5,0.5,11.3,6.3
20296.0,29.0,10.2,12.0,2.0
23039.0,28.7,10.3,12.4,2.1
26248.0,28.0,8.2,10.4,2.3
19592.0,30.7,9.4,13.2,2.4
23068.0,29.7,11.9,12.4,2.0
20822.0,29.4,7.4,11.9,2.5
20759.0,29.2,9.5,12.7,2.5
23387.0,28.3,8.5,11.8,2.0
19579.0,29.7,9.0,13.2,3.0
21382.0,29.2,8.7,13.2,2.6
23839.0,28.2,9.9,12.4,2.6
22654.0,28.3,8.2,11.3,2.5
20737.0,28.6,8.1,11.2,6.1
20485.0,30.8,11.0,12.3,2.1
23915.0,29.6,13.1,13.9,2.8
21376.0,30.3,8.3,11.8,1.8
22224.0,29.0,7.6,12.1,2.1
24151.0,27.1,9.6,11.1,1.8
21292.0,27.3,9.5,10.9,1.8
19290.0,30.2,8.2,13.3,2.0
24189.0,28.5,9.5,12.2,1.8
21285.0,27.8,9.3,11.4,2.6
20365.0,29.5,7.4,12.1,1.6
24379.0,28.6,9.0,11.4,1.5
23325.0,27.9,7.8,11.0,1.6
20478.0,29.0,9.5,12.1,2.2
24718.0,28.0,9.0,12.3,2.0
23842.0,26.3,8.9,8.9,3.5
24970.0,28.3,11.3,11.2,0.8
19448.0,30.9,9.8,13.1,2.7
25075.0,30.0,9.8,12.2,1.9
21994.0,28.4,8.4,11.8,2.0
18919.0,27.8,4.3,13.5,0.4
25149.0,23.0,4.5,9.6,2.0
23502.0,27.1,10.6,8.0,4.1
21743.0,29.1,8.0,12.3,2.7
25262.0,27.6,9.1,11.8,1.8
26142.0,26.6,7.5,11.1,2.2
20427.0,30.6,8.7,13.4,2.5
25437.0,29.0,8.6,12.7,1.8
21648.0,28.7,8.6,11.3,2.4
20168.0,28.9,10.7,12.8,2.4
25512.0,28.1,10.2,11.8,1.9
22376.0,28.3,8.1,11.1,2.4
23617.0,27.8,8.0,11.7,1.2
25544.0,27.0,8.6,11.9,1.9
27106.0,25.9,8.0,11.2,2.3
22298.0,31.0,6.8,13.9,-0.3
25750.0,26.6,6.9,10.3,-0.1
23555.0,26.5,5.1,9.0,2.0
25730.0,28.7,6.5,12.7,1.9
25766.0,28.2,10.8,13.2,2.8
27422.0,26.3,7.5,11.0,1.5
22958.0,28.8,8.2,12.7,1.7000000000000002
22779.0,28.9,8.3,12.1,1.8
23811.0,28.6,9.2,11.3,2.1
25923.0,26.8,9.4,11.5,1.6
30505.0,26.9,9.6,10.7,1.7000000000000002
22177.0,29.6,7.9,12.7,2.3
26319.0,27.9,8.8,12.0,1.2
24488.0,28.0,7.9,11.1,1.7000000000000002
20960.0,29.4,9.0,12.2,2.1
26346.0,28.6,8.5,11.9,1.1
23381.0,28.7,8.0,11.8,2.2
21963.0,30.7,9.4,13.7,2.8
26402.0,31.1,7.2,12.0,1.3
22651.0,29.2,7.1,12.1,2.3
23011.0,29.6,10.2,12.4,1.9
22714.0,28.2,7.0,11.8,1.5
26767.0,28.4,8.4,11.9,1.4
27212.0,28.1,8.3,11.5,2.3
23320.0,28.9,8.6,12.2,2.2
26882.0,27.3,9.1,12.0,2.2
26690.0,27.8,7.9,11.3,2.4
22356.0,29.4,7.9,12.2,2.0
26932.0,27.1,8.8,10.8,1.9
23915.0,28.9,9.2,12.4,2.6
27047.0,27.2,9.8,10.8,1.2
29362.0,26.2,6.4,11.1,2.4
21258.0,29.3,8.5,12.8,2.5
27201.0,28.7,8.8,11.9,1.6
24119.0,27.4,6.0,11.1,1.5
24933.0,29.1,8.7,11.7,2.1
27256.0,28.9,10.2,12.7,2.2
25104.0,28.9,8.0,11.5,2.7
23095.0,29.9,9.3,12.3,2.2
27265.0,27.9,8.0,11.8,1.3
25753.0,27.3,7.1,11.4,2.0
21588.0,30.1,9.2,12.3,1.8
27414.0,28.6,7.5,12.5,1.3
23685.0,27.9,8.3,11.8,2.1
28620.0,27.0,8.3,11.5,2.2
27513.0,27.9,9.2,12.5,1.8
23754.0,26.9,8.3,10.5,2.5
23090.0,28.3,7.8,12.3,2.7
27954.0,28.0,9.2,11.1,2.2
37351.0,24.4,8.4,10.0,2.0
23579.0,29.3,9.6,12.6,1.7000000000000002
28011.0,28.8,8.9,12.1,1.1
21294.0,28.8,10.5,12.9,3.4
23080.0,30.0,8.6,12.9,2.0
28204.0,28.7,9.8,12.5,1.4
24345.0,28.1,7.9,11.1,2.5
22941.0,29.3,9.3,12.2,2.1
28347.0,29.8,8.5,12.6,1.9
24783.0,28.9,6.3,10.7,2.3
23307.0,29.7,9.2,12.4,2.8
28694.0,28.6,7.3,12.3,1.5
25252.0,27.8,7.0,11.3,2.2
25033.0,28.0,7.4,12.2,1.4
28724.0,26.1,8.8,11.6,1.3
28756.0,27.1,6.7,9.9,1.2
27352.0,27.8,7.3,11.6,1.9
28823.0,26.6,8.2,12.0,1.3
25269.0,27.8,7.1,11.2,2.1
24548.0,28.9,7.9,11.6,2.2
28923.0,28.6,8.6,10.6,0.6000000000000001
22120.0,28.9,8.0,11.4,5.2
27620.0,27.2,7.9,11.8,1.4
29080.0,26.8,7.9,11.6,0.7000000000000001
29077.0,28.0,6.7,11.5,1.7000000000000002
35588.0,28.0,9.8,11.7,1.7000000000000002
29145.0,27.1,11.9,12.5,2.1
31354.0,27.4,12.5,11.3,2.0
23553.0,29.6,8.3,13.1,2.2
29149.0,28.7,9.4,12.2,1.6
24951.0,28.9,7.6,12.2,2.0
30150.0,29.8,8.2,12.2,3.0
29192.0,28.4,8.8,12.0,1.1
26704.0,27.0,8.9,11.4,3.6
20918.0,28.9,9.8,13.2,2.9
29286.0,27.2,8.8,13.1,1.8
23895.0,28.1,9.7,11.3,1.9
29411.0,28.1,9.8,11.1,2.0
29714.0,28.1,9.5,10.6,1.4
23613.0,28.9,8.4,12.5,2.4
29422.0,28.5,8.3,12.2,1.3
24646.0,28.4,7.8,11.6,2.1
26280.0,28.8,9.0,11.7,2.2
29522.0,28.1,9.5,10.7,2.2
32318.0,25.9,9.9,10.8,2.4
26044.0,27.8,7.9,12.0,1.8
29603.0,27.6,8.9,11.9,2.0
33367.0,26.5,6.8,10.7,1.9
25297.0,28.9,9.4,12.5,2.6
29740.0,29.1,8.9,12.1,1.8
25364.0,28.6,8.7,12.5,3.1
26159.0,27.7,8.1,12.0,1.6
29811.0,28.7,9.3,11.7,1.3
30385.0,27.0,5.9,10.6,1.7000000000000002
37413.0,27.5,4.2,11.8,1.9
29817.0,25.6,14.1,10.7,3.4
12079.0,30.1,11.5,12.4,4.0
28574.0,27.3,7.8,11.9,2.0
29843.0,27.3,7.9,10.6,1.5
30557.0,27.4,7.6,10.7,1.2
26399.0,26.9,8.6,11.7,1.2
29862.0,26.7,8.9,11.9,2.2
34464.0,25.6,4.2,10.5,1.6
26828.0,28.3,7.1,12.1,1.8
30088.0,27.5,7.2,11.4,1.2
