basari_sirasi,ayt_matematik,ayt_kimya,ayt_biyoloji,ayt_fizik
2086.0,37.2,11.9,12.5,13.6
2562.0,38.8,12.8,11.7,13.5
2813.0,39.7,12.0,12.3,12.3
2388.0,37.2,11.9,12.2,13.5
2601.0,39.0,12.5,11.7,13.6
2580.0,39.4,12.1,12.2,12.7
4099.0,35.7,11.6,12.3,13.3
2823.0,39.0,12.4,11.8,13.2
2358.0,39.9,12.2,11.6,12.9
3356.0,36.3,11.7,11.8,13.2
2888.0,38.6,12.6,11.5,13.5
3437.0,39.7,12.1,12.2,12.3
4035.0,35.4,12.4,12.7,13.7
2919.0,38.3,13.0,11.1,14.0
4806.0,39.5,11.5,11.3,12.5
2774.0,37.4,11.5,12.2,13.5
3105.0,38.8,12.7,12.1,13.2
2110.0,39.8,12.0,12.5,12.7
2681.0,35.4,11.8,12.5,13.5
3110.0,38.7,12.3,11.5,13.5
2651.0,39.8,11.9,12.1,12.3
3063.0,36.7,11.8,12.0,13.3
3163.0,38.7,12.5,11.7,13.5
3283.0,39.5,12.3,11.8,12.5
3294.0,36.5,11.9,12.2,13.4
3212.0,38.8,12.6,11.7,13.4
2559.0,39.7,12.3,12.4,12.6
3787.0,36.2,11.4,11.8,13.2
3272.0,38.5,12.5,11.9,13.5
5018.0,39.4,11.5,12.1,12.1
4886.0,36.4,11.7,11.4,12.9
3346.0,38.3,12.7,11.6,13.1
3131.0,39.8,11.8,12.0,12.4
2792.0,36.4,12.1,12.1,13.4
3366.0,38.6,12.4,11.7,13.5
5000.0,39.3,11.9,11.9,12.3
4377.0,35.9,11.5,11.9,13.4
3388.0,38.7,12.5,11.6,13.5
3576.0,39.6,11.9,11.9,12.2
3689.0,35.8,11.8,12.1,13.4
3429.0,38.6,12.7,11.8,13.5
2712.0,39.5,12.1,12.2,12.5
3577.0,35.7,11.8,12.0,13.3
3533.0,38.4,12.6,11.7,13.4
4353.0,39.2,12.0,12.0,12.1
3771.0,36.0,11.8,12.0,13.3
3584.0,38.7,12.6,11.5,13.5
2695.0,39.5,12.2,12.1,12.7
2963.0,37.0,12.2,12.1,13.4
3611.0,38.6,12.7,11.8,13.4
4973.0,39.4,11.8,12.0,12.0
5946.0,35.3,11.4,11.8,12.9
3677.0,38.8,12.5,11.5,13.3
2851.0,39.4,12.3,12.2,12.2
4122.0,36.5,12.1,11.5,13.5
3702.0,38.5,12.6,11.3,13.5
8101.0,38.8,11.5,11.2,11.3
6579.0,35.1,10.0,11.8,12.6
3752.0,38.4,12.7,11.1,13.1
4861.0,39.4,12.4,12.1,12.1
3035.0,38.0,12.1,12.0,13.3
3863.0,38.5,12.8,12.0,13.3
2449.0,39.7,11.8,12.3,13.1
6205.0,35.2,11.2,11.5,13.2
3937.0,37.6,12.5,11.5,13.4
3646.0,39.7,11.8,11.8,11.9
3658.0,35.7,12.0,12.1,13.3
4061.0,38.4,12.5,11.5,13.3
4670.0,39.3,11.9,11.8,12.2
4344.0,35.0,11.7,12.0,13.1
4111.0,38.3,12.7,11.3,13.2
5178.0,39.0,11.9,12.1,12.0
6066.0,34.4,11.2,11.8,13.1
4574.0,38.1,12.5,11.5,13.0
5735.0,39.4,11.8,11.8,11.9
34638.0,22.0,11.8,11.8,10.2
4643.0,40.0,13.0,11.8,12.8
7471.0,38.8,11.8,11.8,11.5
2508.0,36.6,11.8,11.8,13.4
4679.0,38.4,12.4,11.8,13.4
6305.0,38.8,11.0,10.6,12.9
2887.0,37.9,12.2,12.4,13.4
4781.0,38.9,12.6,12.1,13.4
3455.0,39.4,12.4,12.4,12.7
3659.0,35.9,11.7,12.2,13.3
4832.0,38.1,12.5,11.4,13.3
6321.0,39.2,11.7,11.7,12.0
9295.0,33.0,10.9,11.5,12.8
4867.0,38.0,12.5,11.7,13.3
3591.0,39.4,12.6,11.9,12.8
4840.0,35.2,11.6,11.9,12.9
4973.0,38.3,12.3,11.1,13.3
6503.0,39.3,11.5,11.4,11.9
5725.0,34.9,11.4,11.8,13.1
5039.0,38.4,12.3,11.5,13.4
5056.0,39.3,11.9,11.9,12.2
5145.0,34.9,11.5,12.0,13.1
5090.0,38.1,12.4,11.4,13.3
4030.0,39.3,12.0,12.0,12.2
9296.0,32.8,11.8,11.8,13.1
6228.0,35.0,10.6,12.2,13.6
4978.0,38.3,12.5,11.9,13.6
4691.0,39.2,11.2,12.2,11.9
5290.0,35.2,11.6,12.0,13.2
5303.0,38.0,12.4,11.4,13.3
5159.0,39.2,11.9,11.9,12.1
7296.0,34.4,10.9,11.5,12.7
5437.0,37.6,12.6,11.4,12.9
6233.0,38.9,12.1,11.5,11.5
8262.0,34.0,11.1,11.6,13.0
5478.0,38.1,12.4,11.4,13.3
6131.0,39.1,11.9,11.8,12.3
4775.0,35.2,10.8,11.8,13.4
5199.0,34.7,11.5,11.9,12.9
5568.0,37.9,12.4,11.2,13.2
5949.0,39.1,11.7,11.7,11.8
4686.0,35.0,11.6,11.9,13.2
5741.0,38.2,12.1,11.3,13.3
7820.0,38.9,11.7,11.6,11.6
14749.0,32.8,11.1,11.9,13.2
5927.0,37.3,12.6,11.6,13.3
7153.0,39.4,11.5,11.3,10.9
4270.0,35.8,11.8,12.0,13.5
6062.0,37.8,12.5,11.3,13.1
7501.0,39.3,11.6,11.9,12.0
6399.0,34.2,11.5,11.8,13.1
6071.0,38.0,12.3,11.4,13.1
6490.0,39.2,11.7,11.7,12.0
9175.0,34.0,11.1,11.1,13.0
6158.0,37.5,12.2,11.8,13.1
6275.0,39.4,11.4,12.2,11.8
5109.0,34.6,11.3,12.1,13.0
5787.0,33.9,11.2,11.8,12.8
6258.0,37.6,12.1,11.3,13.1
6428.0,39.1,11.6,11.6,11.6
6639.0,33.5,11.3,11.8,12.9
6420.0,37.8,12.2,11.0,13.3
5476.0,39.1,11.7,12.0,11.8
6128.0,33.8,10.7,11.8,12.8
6493.0,36.4,12.0,11.8,13.6
6667.0,38.6,12.1,11.9,11.8
5947.0,34.8,11.3,11.5,12.9
6498.0,37.9,12.3,11.0,13.0
9285.0,38.7,11.5,11.3,11.5
6545.0,34.2,11.3,11.7,13.0
6524.0,38.2,12.6,11.3,12.4
5026.0,39.2,11.6,11.5,11.9
5793.0,36.0,11.3,11.6,13.3
6542.0,38.3,11.8,11.2,13.7
5121.0,38.9,12.3,11.9,12.6
6727.0,33.2,11.2,11.3,12.5
6560.0,36.9,12.4,11.1,13.4
5521.0,38.9,11.9,11.6,11.8
4910.0,35.8,11.8,11.4,13.3
6666.0,38.1,12.4,11.0,13.0
10646.0,39.2,11.3,11.0,11.3
73278.0,21.0,7.2,9.8,10.2
6806.0,37.6,12.2,11.3,13.1
12716.0,38.0,11.5,10.1,11.9
6650.0,34.8,12.2,12.2,12.3
6809.0,37.7,11.8,9.7,13.2
7769.0,39.3,11.3,11.8,11.6
12531.0,32.9,10.5,11.5,13.0
6811.0,38.6,12.1,10.8,13.1
6310.0,34.4,11.5,11.7,13.1
6838.0,38.0,12.3,11.0,13.2
8078.0,39.0,11.6,11.5,11.8
14245.0,33.1,10.4,10.9,12.6
6884.0,38.5,11.9,10.7,13.2
5678.0,39.2,11.8,11.4,11.6
7583.0,34.5,11.1,11.7,12.9
6885.0,37.8,12.1,11.1,13.3
7269.0,38.9,11.6,11.8,11.7
20538.0,31.6,10.9,11.2,12.4
6897.0,37.8,12.2,10.5,13.4
8482.0,38.6,11.3,11.5,11.5
7320.0,33.4,11.1,11.8,12.8
7276.0,37.5,12.2,11.1,13.3
7173.0,38.9,11.8,11.7,11.6
10901.0,32.7,10.7,11.4,12.7
7387.0,37.5,12.3,11.1,13.2
7006.0,39.1,11.5,11.7,12.0
11721.0,34.4,9.6,10.8,12.6
7512.0,37.5,12.5,11.0,13.5
6489.0,38.8,11.9,11.1,11.1
6762.0,34.5,11.2,11.6,12.8
7662.0,37.2,11.9,11.1,13.2
10180.0,38.6,11.5,11.1,11.3
14670.0,30.5,8.8,9.5,14.0
7746.0,38.8,11.8,10.5,12.3
11801.0,38.3,11.8,10.9,11.1
8734.0,32.9,11.3,11.8,13.6
7853.0,36.3,11.8,11.6,12.5
11153.0,38.1,10.4,12.6,10.9
7571.0,33.2,11.2,11.6,12.8
8012.0,37.6,12.1,10.8,13.1
8780.0,38.9,11.5,11.5,11.4
9162.0,33.1,10.8,11.5,12.8
8111.0,37.5,12.3,11.0,13.0
11027.0,38.6,11.1,11.1,11.4
13450.0,32.8,11.0,11.5,12.7
8126.0,37.9,12.4,11.4,13.1
6177.0,39.4,11.9,11.5,12.0
9025.0,34.0,11.1,11.7,12.7
8302.0,38.1,12.2,11.0,12.9
7549.0,39.4,11.8,11.6,11.7
10795.0,33.3,11.0,11.4,12.9
8381.0,37.7,12.1,11.1,13.1
9617.0,38.8,11.4,11.5,11.8
8071.0,33.0,11.0,11.8,12.5
8437.0,37.7,12.2,11.0,13.1
8079.0,38.9,11.5,11.6,11.7
8580.0,33.4,10.9,11.7,12.8
8458.0,37.5,12.2,11.0,13.0
8295.0,39.0,11.6,11.6,11.7
7769.0,34.0,11.7,11.6,13.1
8495.0,37.1,12.0,11.2,13.3
10223.0,38.5,11.3,10.8,11.6
8917.0,33.8,9.7,11.4,12.6
8517.0,37.1,12.2,11.0,13.5
7876.0,39.2,11.9,11.5,11.5
7572.0,33.8,11.8,12.4,13.1
8541.0,37.2,13.0,10.5,13.4
23134.0,27.2,9.1,11.4,13.2
8578.0,36.3,11.1,12.4,14.0
13319.0,38.8,11.8,10.5,11.6
7310.0,34.0,11.3,11.7,13.0
8660.0,37.2,12.2,11.1,13.1
13604.0,38.5,11.3,10.9,11.3
9937.0,31.7,9.8,12.2,12.3
8948.0,38.3,12.2,10.1,12.3
10462.0,38.8,11.6,10.9,11.2
11700.0,32.5,10.6,11.4,12.7
8974.0,37.1,12.1,10.7,13.1
10677.0,38.9,11.3,10.9,11.6
8201.0,33.0,11.1,11.7,12.7
9220.0,37.0,11.8,11.1,13.0
10291.0,38.6,11.2,11.4,11.5
9627.0,32.5,10.9,11.6,12.7
9449.0,37.0,12.0,10.9,13.2
9880.0,38.8,11.4,11.5,11.3
12336.0,34.0,10.3,10.8,11.8
9460.0,37.8,12.3,10.3,12.8
7725.0,39.2,11.0,11.4,12.0
8566.0,33.5,10.1,11.3,12.0
9476.0,37.5,12.5,10.2,13.0
10845.0,38.1,10.9,11.9,11.1
18769.0,30.1,10.7,10.8,12.9
9573.0,37.0,12.1,10.9,13.1
11482.0,38.6,11.2,11.4,11.2
13973.0,31.8,10.5,11.2,12.6
9764.0,37.4,11.9,10.7,13.1
9926.0,38.8,11.3,11.4,11.7
16190.0,31.5,10.1,11.2,11.8
9765.0,37.5,12.4,10.9,13.2
9748.0,39.2,11.1,10.5,12.0
9745.0,30.7,11.3,11.8,12.7
9808.0,37.1,12.2,11.0,13.1
10306.0,38.5,11.1,11.5,11.3
7430.0,34.0,11.3,11.7,13.1
9886.0,37.3,12.1,10.8,13.1
13032.0,38.6,11.2,11.0,11.3
12286.0,32.7,10.7,11.7,12.6
10158.0,37.0,11.7,11.3,13.2
9476.0,38.7,11.6,11.5,11.6
9716.0,31.9,11.1,11.6,12.5
10277.0,36.4,11.8,10.6,13.1
10993.0,38.4,11.4,11.1,11.3
10165.0,32.6,10.7,11.6,12.7
10339.0,37.0,12.0,10.8,12.9
10541.0,38.7,11.5,11.5,11.3
7721.0,33.2,11.0,11.8,13.0
10348.0,37.1,12.0,10.8,13.1
15860.0,38.2,11.0,10.5,11.2
13485.0,32.2,10.5,11.2,12.8
10400.0,37.0,12.0,11.1,12.8
11746.0,39.0,11.1,11.0,11.3
9287.0,31.4,10.8,11.8,12.9
10427.0,36.8,11.8,10.5,12.6
12455.0,38.9,11.4,11.8,10.6
10484.0,32.4,10.1,11.6,12.9
10429.0,37.4,12.1,9.9,12.3
10002.0,38.6,11.6,11.5,10.6
8956.0,32.4,10.9,11.8,12.8
10594.0,36.7,12.2,10.8,13.2
16496.0,38.6,10.1,10.8,10.8
13746.0,30.8,11.3,11.8,12.6
10699.0,36.3,12.4,10.7,12.7
6659.0,38.6,11.8,12.5,11.3
18246.0,30.5,9.4,10.4,12.6
10798.0,37.0,12.4,10.2,13.5
11357.0,38.7,11.4,11.3,10.9
10779.0,31.8,10.6,11.5,13.1
10897.0,37.3,12.7,11.0,12.9
12958.0,39.1,10.6,10.1,12.1
19139.0,30.7,9.9,10.8,12.7
10935.0,37.2,12.4,10.3,12.6
8619.0,39.4,10.5,11.9,11.7
10612.0,32.6,10.9,11.6,12.7
10995.0,36.9,11.9,10.7,13.0
10763.0,38.9,11.6,11.5,11.4
11535.0,32.3,10.7,11.5,12.6
11149.0,36.8,12.0,10.8,12.9
11774.0,38.8,11.3,11.2,11.4
13564.0,32.2,10.8,11.4,12.6
11378.0,36.3,11.9,11.0,12.7
15189.0,38.2,10.9,11.0,10.8
10386.0,32.4,10.2,10.7,13.2
11455.0,36.6,11.8,10.5,13.4
12814.0,39.3,10.3,11.1,10.6
11733.0,32.4,10.9,11.2,12.6
11527.0,36.9,11.8,10.5,12.9
15537.0,38.2,10.8,10.9,10.9
24963.0,28.2,10.4,11.1,12.1
11598.0,36.8,11.9,10.7,13.3
8205.0,39.2,11.2,11.2,12.0
25986.0,27.7,9.7,10.7,11.8
11610.0,36.7,11.6,11.0,13.1
12308.0,39.1,10.9,11.0,11.4
17383.0,30.9,10.3,10.8,12.6
11627.0,37.3,11.8,10.6,13.1
13889.0,38.3,11.1,11.1,11.5
11324.0,32.4,11.3,11.0,12.6
11720.0,35.7,11.8,11.3,12.9
11823.0,38.1,10.9,11.4,11.1
10321.0,31.8,11.0,11.9,12.7
11853.0,36.4,11.8,10.6,13.0
12103.0,38.6,11.1,11.3,11.4
11277.0,32.1,10.7,11.4,12.8
11876.0,36.8,12.0,10.7,12.9
10788.0,38.7,11.5,11.6,11.4
9589.0,33.4,11.1,11.4,12.9
11881.0,37.3,11.7,10.6,13.0
19614.0,38.4,10.8,10.2,10.6
15094.0,30.7,10.4,11.3,12.5
11920.0,36.6,11.8,10.9,13.1
13437.0,38.7,11.2,10.9,11.0
9610.0,32.8,11.1,11.8,12.6
11921.0,36.3,11.9,10.9,12.9
18184.0,38.0,11.1,10.5,10.5
12201.0,32.6,10.7,11.6,12.9
11955.0,36.9,11.9,10.8,12.8
8856.0,39.2,11.6,11.8,12.3
10139.0,32.2,10.0,11.6,12.8
11975.0,34.8,12.5,10.1,13.1
12880.0,38.4,11.3,11.6,10.1
12900.0,32.7,11.5,11.2,13.3
12057.0,36.2,11.8,11.1,13.4
13251.0,38.8,11.1,11.1,10.8
12236.0,31.5,10.5,11.5,12.6
12062.0,35.9,11.9,10.8,12.9
12314.0,38.4,11.1,11.2,11.1
19015.0,29.8,11.2,11.2,11.7
12117.0,35.3,12.2,10.8,13.2
10587.0,38.8,11.1,12.2,11.1
12558.0,31.6,10.4,11.4,12.8
12119.0,36.9,11.6,10.7,12.7
8991.0,39.1,11.5,11.6,11.5
12817.0,31.1,12.4,11.1,13.1
12140.0,36.8,11.3,10.1,12.8
12730.0,38.6,11.2,9.8,11.6
24264.0,30.7,9.5,10.0,11.5
12145.0,36.7,12.1,10.9,12.8
10276.0,38.4,11.3,11.0,11.0
13177.0,32.0,10.8,11.5,12.5
12228.0,37.2,12.3,10.3,13.0
11101.0,39.1,11.8,11.5,11.2
120511.0,19.2,7.3,8.8,7.8
12235.0,37.4,11.9,10.1,13.5
30872.0,36.0,9.7,10.4,9.8
12683.0,31.6,10.7,11.3,12.4
12324.0,36.6,11.7,10.6,12.9
12050.0,38.6,11.1,11.3,11.2
11318.0,30.3,10.6,11.4,12.5
12325.0,36.9,11.8,10.1,13.0
11341.0,38.3,11.4,11.5,11.2
18131.0,31.6,10.2,11.1,12.1
12380.0,37.6,12.0,9.4,13.2
12833.0,38.5,10.6,11.3,11.2
14565.0,31.0,12.2,9.7,11.9
12522.0,38.2,10.9,10.5,13.6
14237.0,38.4,11.3,10.9,9.8
17942.0,30.5,10.7,11.1,12.2
12541.0,35.7,12.2,11.0,12.9
16625.0,38.3,11.1,10.2,10.7
18714.0,31.5,9.5,8.9,12.0
12784.0,37.7,11.5,8.8,13.4
17820.0,38.0,10.7,11.1,10.8
22181.0,30.5,10.6,11.1,12.6
12934.0,36.6,11.7,10.4,13.1
13655.0,38.5,11.5,10.8,11.3
15359.0,31.8,10.8,11.0,13.0
13034.0,37.9,11.6,10.1,12.5
21059.0,37.5,10.7,9.2,11.3
13176.0,31.4,10.5,11.3,12.4
13058.0,36.4,11.6,10.5,12.9
13061.0,38.5,11.2,11.3,11.2
10925.0,31.7,10.8,11.3,12.5
13135.0,36.4,11.7,10.5,12.8
12257.0,38.0,11.6,11.5,10.9
19569.0,29.3,9.7,11.3,12.5
13139.0,36.6,12.0,9.8,13.3
12369.0,38.8,11.5,10.5,11.1
11519.0,31.4,10.5,11.5,12.3
13217.0,35.6,11.3,10.5,12.6
13336.0,37.9,11.2,10.8,11.2
11890.0,29.1,9.4,11.5,12.8
13379.0,36.3,12.3,9.8,12.8
14346.0,38.0,11.0,11.4,11.3
11438.0,30.3,10.6,11.6,13.2
13423.0,34.8,11.4,10.8,12.7
13318.0,37.9,11.2,11.7,11.0
13250.0,31.6,10.6,11.3,12.5
13616.0,36.5,11.7,10.4,12.8
14222.0,38.4,11.1,11.2,11.1
13487.0,31.0,10.3,11.2,12.2
13738.0,36.2,11.5,10.1,12.7
14125.0,38.6,11.3,10.7,10.9
13324.0,31.2,10.4,11.3,12.6
13831.0,35.6,12.0,10.5,12.9
14450.0,38.3,11.1,11.1,10.9
16052.0,32.2,10.4,11.6,12.6
14017.0,36.8,11.7,10.6,13.0
9761.0,38.9,11.6,11.4,11.9
23272.0,29.7,9.7,10.2,12.2
14246.0,36.0,11.8,10.4,12.9
15816.0,38.3,11.0,10.5,11.2
17132.0,30.4,10.5,11.0,12.5
14352.0,36.3,11.4,10.6,13.1
17798.0,38.2,11.0,10.5,10.9
12342.0,32.1,11.1,11.3,12.7
14363.0,36.1,11.8,10.7,12.9
19381.0,37.8,10.8,10.4,11.2
17310.0,31.5,10.1,11.1,12.3
14431.0,36.7,11.6,10.2,13.0
26044.0,30.7,10.5,11.0,12.5
14500.0,36.6,12.1,10.8,13.0
14265.0,38.7,11.4,11.2,11.5
13255.0,31.5,10.7,11.2,12.4
14501.0,36.4,11.8,10.4,12.7
20727.0,37.6,10.6,10.4,10.7
14610.0,31.0,10.3,11.2,12.4
14578.0,36.4,11.8,10.3,12.8
13597.0,38.5,11.2,11.1,11.2
14136.0,31.8,10.5,11.3,12.3
14836.0,36.3,11.7,10.4,12.8
15121.0,38.3,11.2,11.0,11.0
14203.0,31.6,10.8,11.0,11.8
14879.0,36.4,11.8,10.6,12.8
15164.0,38.3,11.2,10.3,11.2
15038.0,30.9,10.5,11.3,12.2
14984.0,35.8,11.6,10.4,12.7
15210.0,37.9,11.0,10.9,10.9
12463.0,31.6,10.7,11.4,12.6
15158.0,36.0,11.9,10.1,12.7
23660.0,37.0,10.7,10.2,10.4
15033.0,30.6,10.0,11.3,12.4
15449.0,35.8,11.4,10.4,13.1
15308.0,38.2,11.0,11.0,11.0
14988.0,30.8,10.4,11.2,12.3
15468.0,36.0,11.5,10.4,12.7
15314.0,38.2,11.2,11.1,10.9
15007.0,31.1,10.4,11.1,12.7
15577.0,36.2,11.7,10.4,12.8
15994.0,38.2,11.1,10.9,11.1
22192.0,30.5,9.9,10.6,12.3
15582.0,35.6,11.8,10.3,12.7
18566.0,38.0,11.0,10.0,11.0
36119.0,26.5,9.8,10.5,11.8
15691.0,35.0,13.0,10.5,14.0
17865.0,37.8,11.8,10.5,9.0
16761.0,30.1,10.2,11.2,12.3
15724.0,36.1,11.4,9.9,12.7
14807.0,38.1,11.0,11.0,11.1
19498.0,29.9,10.2,11.1,12.4
15938.0,35.9,11.7,10.3,12.8
22863.0,37.7,10.7,10.0,10.8
15684.0,30.2,9.8,11.5,12.0
16017.0,35.4,11.8,10.3,12.4
16663.0,38.4,10.9,11.0,10.7
13713.0,31.1,10.2,11.6,12.6
16054.0,35.9,12.1,10.4,12.6
16131.0,38.2,10.5,10.0,11.3
25722.0,28.3,10.7,10.2,11.2
16169.0,35.6,11.0,11.4,13.2
22186.0,38.6,9.9,10.7,11.3
115193.0,21.2,6.7,6.6,8.8
16334.0,36.4,10.7,11.6,12.9
34044.0,37.5,10.4,9.2,10.0
17071.0,30.3,10.2,10.9,12.0
16477.0,35.8,11.5,10.1,12.8
17459.0,38.0,10.7,10.5,10.6
13125.0,32.5,10.2,11.2,12.4
16507.0,36.5,11.5,10.1,12.9
30017.0,37.3,10.1,9.4,10.0
16089.0,31.8,10.4,11.1,12.6
16517.0,36.8,11.7,10.2,12.9
24236.0,37.9,10.7,10.0,10.8
18662.0,29.4,10.0,11.3,11.9
16595.0,35.5,11.3,10.6,12.7
14983.0,38.7,11.0,10.8,11.2
26106.0,28.7,9.1,10.4,12.0
16745.0,35.6,12.0,10.1,12.4
18332.0,37.6,10.7,11.1,10.5
16394.0,31.1,10.5,11.3,12.5
16779.0,36.4,11.5,10.1,12.8
19174.0,37.8,11.2,10.8,10.9
16846.0,30.6,10.4,11.0,12.2
16982.0,36.5,11.5,10.2,12.7
16848.0,38.2,11.1,10.9,10.9
17828.0,30.0,10.2,11.1,12.0
17009.0,35.1,11.4,10.4,12.8
16461.0,38.2,10.9,10.9,10.8
16552.0,30.6,10.3,11.1,12.6
17015.0,35.5,11.5,10.3,12.8
20973.0,37.6,10.6,10.1,11.1
20245.0,30.5,9.8,10.9,12.3
17038.0,36.7,11.6,9.9,12.2
22181.0,37.8,10.5,9.9,10.5
18453.0,29.7,9.8,11.0,12.7
17405.0,36.3,11.1,10.3,12.8
16011.0,37.9,11.4,11.1,10.5
14089.0,31.7,10.0,10.7,12.4
17417.0,35.6,11.2,10.2,12.6
25266.0,37.3,10.5,9.5,10.5
13547.0,31.3,10.7,11.4,12.6
17442.0,35.7,12.0,9.9,12.9
26082.0,36.7,10.3,10.2,10.4
17273.0,30.1,10.2,11.0,12.0
17532.0,35.8,11.3,10.1,12.7
17479.0,37.9,11.0,11.0,10.7
17890.0,30.8,9.9,11.0,12.3
17540.0,36.4,11.1,10.7,12.7
22882.0,37.2,10.7,10.3,10.9
17596.0,30.2,10.0,10.9,12.3
17606.0,35.8,11.4,10.1,12.8
16715.0,31.0,10.0,11.3,11.8
17901.0,36.2,11.3,10.6,12.7
17537.0,38.5,10.5,9.9,11.2
17162.0,30.5,10.1,11.2,12.2
17934.0,32.8,12.1,9.9,12.8
16501.0,37.6,11.0,11.2,10.9
15819.0,31.7,10.4,11.1,12.3
17947.0,35.8,11.6,10.4,13.0
23706.0,37.4,10.6,10.0,10.8
17824.0,30.3,10.3,11.3,12.2
18121.0,35.6,11.4,10.0,12.7
18399.0,37.9,10.9,10.8,11.0
18118.0,29.6,10.0,11.2,12.1
18185.0,35.1,11.5,10.1,12.3
19885.0,37.7,10.8,10.3,10.5
22669.0,30.2,9.8,10.6,11.9
18220.0,35.3,11.3,10.4,12.9
