basari_sirasi,ayt_matematik,ayt_edebiyat,ayt_cografya1
2706.0,26.3,20.2,4.3
3042.0,31.7,20.3,4.0
2456.0,35.1,19.7,5.1
3022.0,25.8,20.6,4.4
3221.0,30.3,19.8,4.3
6043.0,32.4,18.4,5.0
3225.0,26.5,20.5,4.4
3242.0,31.7,20.5,4.3
4387.0,34.4,19.5,5.0
1878.0,31.2,20.2,-0.2
3330.0,35.5,21.5,3.5
3969.0,38.8,15.5,4.8
3831.0,25.4,20.2,4.3
3353.0,31.4,20.0,4.0
7535.0,33.2,17.9,5.1
4159.0,27.4,17.3,3.5
3400.0,29.5,19.4,5.1
13150.0,31.1,16.8,3.9
3942.0,25.5,20.0,4.5
3470.0,30.9,19.9,4.2
6831.0,33.6,17.7,4.8
2028.0,30.4,20.2,5.1
3523.0,33.4,18.2,4.9
1563.0,36.5,20.9,5.5
2349.0,31.7,18.1,4.1
3578.0,29.2,18.0,4.6
9839.0,31.7,15.2,4.6
6247.0,23.8,19.6,4.7
3638.0,30.7,19.2,4.2
4105.0,35.1,18.6,4.7
6969.0,24.0,20.2,4.6
3664.0,31.5,20.3,4.5
5244.0,33.7,17.0,4.6
3356.0,25.4,20.4,4.3
3682.0,28.8,19.7,3.9
5196.0,35.0,20.8,5.6
4436.0,24.8,19.3,4.1
3821.0,31.0,19.3,4.2
4201.0,34.5,19.1,5.0
2223.0,27.4,21.2,4.1
4056.0,32.6,16.9,3.6
16098.0,30.2,19.8,4.7
4056.0,24.2,20.1,4.2
4090.0,29.8,19.8,4.1
6201.0,32.7,18.2,4.9
7963.0,24.4,18.7,3.8
4185.0,31.3,19.3,4.1
7173.0,31.5,19.5,4.9
4886.0,24.5,20.3,3.8
4364.0,30.4,20.2,3.5
5218.0,35.3,17.0,5.1
5695.0,24.0,20.4,4.1
4388.0,29.8,20.1,3.9
6906.0,32.3,18.9,4.9
10831.0,22.6,19.9,4.2
4520.0,29.8,19.3,3.3
4786.0,33.5,19.1,5.0
5560.0,24.6,20.2,4.2
4539.0,30.3,20.0,4.1
5405.0,33.7,19.3,5.1
5687.0,25.3,18.2,4.4
4910.0,26.6,20.4,3.5
7338.0,30.4,17.8,5.0
8743.0,24.3,19.1,4.2
4993.0,31.0,18.6,3.9
8229.0,31.6,18.2,4.9
6168.0,25.4,19.2,4.8
4639.0,23.8,19.1,4.3
5192.0,28.0,20.5,3.6
10481.0,31.2,16.3,5.0
6110.0,23.2,20.1,4.4
5250.0,29.3,18.9,4.1
12652.0,28.0,18.0,5.0
8245.0,22.8,19.8,4.1
5384.0,29.1,18.7,3.6
9311.0,31.2,16.3,4.4
5873.0,25.0,19.7,4.2
5430.0,29.5,19.8,4.0
7914.0,31.0,19.4,4.8
5256.0,24.7,20.2,4.3
5574.0,28.3,20.0,3.7
8093.0,29.9,19.3,5.1
10851.0,18.3,17.8,3.5
5638.0,30.5,19.2,2.8
8404.0,32.3,16.9,4.6
8183.0,21.4,19.7,4.2
5791.0,27.2,19.2,4.1
10270.0,30.0,17.1,4.7
6835.0,22.0,19.1,5.1
5941.0,27.3,20.2,4.0
13479.0,28.2,17.3,4.5
9947.0,22.0,19.1,4.0
5947.0,27.5,19.3,3.7
6158.0,33.0,18.2,5.2
24502.0,20.5,18.9,3.9
5999.0,28.6,20.6,4.1
12052.0,29.4,20.0,4.6
9090.0,24.2,18.2,4.3
6060.0,32.1,17.5,3.9
8662.0,31.9,16.9,4.8
9005.0,22.4,19.6,4.2
6174.0,28.2,19.6,3.9
9118.0,31.0,18.0,4.8
9139.0,22.5,19.8,4.1
6380.0,28.2,19.6,4.1
11196.0,30.4,17.6,4.9
7190.0,23.9,20.0,4.3
6451.0,28.7,19.1,3.8
15584.0,28.9,16.7,4.9
9679.0,23.6,19.1,4.4
6513.0,30.4,19.0,4.4
8808.0,31.0,16.2,4.4
13632.0,22.7,19.2,4.0
6549.0,29.6,20.1,3.7
9052.0,34.4,18.8,5.3
13311.0,20.9,19.8,4.2
6602.0,27.7,19.2,4.1
14799.0,29.5,17.5,4.7
10106.0,19.1,19.6,3.9
6655.0,25.4,18.7,3.9
13797.0,26.8,19.4,4.9
4334.0,23.6,20.2,4.4
6694.0,28.8,18.1,4.3
12534.0,30.7,18.0,4.7
16717.0,24.2,15.9,4.2
6858.0,26.9,18.3,2.6
7341.0,30.7,19.9,5.3
4762.0,24.7,19.6,3.8
6915.0,31.3,18.9,4.5
11597.0,28.8,19.0,4.3
16080.0,19.8,19.0,3.9
7092.0,30.5,18.4,3.2
10666.0,28.8,18.0,5.0
16819.0,20.9,19.4,4.1
7134.0,29.6,18.9,4.3
12982.0,31.8,18.2,4.4
15562.0,19.3,20.3,4.7
7306.0,29.5,17.5,4.0
8614.0,29.0,18.9,5.7
7858.0,23.8,19.6,4.2
7582.0,28.7,18.2,4.0
12544.0,30.5,17.9,4.9
14524.0,20.3,19.7,3.7
7590.0,27.7,18.2,4.1
14319.0,29.3,16.5,4.8
10981.0,24.1,19.4,4.2
7598.0,30.4,18.5,4.0
9372.0,34.3,15.0,4.9
10225.0,22.6,19.8,4.3
7630.0,28.3,18.4,3.8
10597.0,30.6,17.3,5.2
11978.0,22.0,18.6,4.0
7967.0,27.4,18.7,4.6
10365.0,32.9,17.2,4.9
11567.0,22.8,19.6,4.4
8031.0,27.9,18.9,3.7
19276.0,28.0,17.6,5.1
11385.0,20.4,19.9,4.1
8130.0,26.7,19.2,3.8
11620.0,30.1,17.4,4.8
14784.0,21.1,18.3,4.4
8267.0,28.4,18.3,3.3
8070.0,32.2,18.4,4.5
11873.0,20.8,20.4,3.8
8294.0,28.3,17.3,2.7
12835.0,27.7,15.8,5.1
6023.0,20.4,20.8,3.5
8409.0,28.3,15.4,4.0
11480.0,29.0,19.0,4.8
20794.0,19.7,18.1,4.2
8726.0,25.0,18.8,4.4
10155.0,30.7,17.3,5.7
9039.0,22.5,19.8,4.4
8782.0,26.7,19.4,4.6
17731.0,30.1,15.2,4.7
22367.0,20.6,19.6,3.7
8899.0,28.2,19.2,3.9
11616.0,30.2,18.4,4.9
9088.0,21.4,18.1,4.5
9090.0,26.5,18.4,3.3
12996.0,27.9,16.5,5.1
13391.0,20.8,19.2,4.1
9239.0,26.3,18.9,3.8
14264.0,28.7,17.0,4.6
10263.0,20.4,20.1,4.3
9243.0,26.9,19.1,3.8
24396.0,26.1,15.7,5.3
12514.0,20.2,19.2,4.5
9347.0,26.6,19.0,3.7
12391.0,30.5,17.6,4.8
11391.0,20.8,19.6,4.1
9521.0,25.4,19.3,3.8
12546.0,27.6,18.2,5.1
15530.0,20.6,19.4,4.2
9639.0,26.4,19.4,3.8
12110.0,30.1,18.1,4.6
16194.0,20.6,19.6,4.1
9736.0,26.0,19.3,3.9
13564.0,29.1,17.7,4.7
16615.0,20.7,18.5,3.9
9758.0,27.1,17.8,3.9
15566.0,26.3,18.3,4.9
15694.0,20.9,19.5,4.1
9831.0,26.5,19.1,3.8
14281.0,28.3,17.9,4.8
17694.0,21.7,18.1,4.1
9848.0,26.3,18.8,4.0
15666.0,27.7,17.1,4.6
13904.0,23.2,16.8,3.4
10139.0,25.3,18.1,3.4
14919.0,28.8,15.7,4.8
15901.0,20.0,19.0,4.0
10317.0,24.7,19.1,4.1
16942.0,28.5,16.0,4.4
6753.0,23.9,19.6,4.1
10367.0,27.5,18.2,3.6
24514.0,27.4,16.7,4.8
20595.0,23.0,18.6,3.9
10568.0,26.6,20.3,3.4
22380.0,29.6,16.4,4.5
39025.0,15.6,19.5,4.3
10620.0,22.8,23.0,3.3
13183.0,27.7,18.0,5.4
18560.0,20.2,19.0,4.2
10823.0,25.1,18.9,3.9
15117.0,27.7,17.3,5.1
16012.0,21.7,19.2,4.0
10883.0,23.6,18.8,3.7
14717.0,28.0,16.8,4.4
19038.0,19.2,19.4,4.1
11141.0,25.6,19.0,3.9
16617.0,27.7,17.8,4.8
17622.0,19.0,19.3,4.5
11658.0,25.6,19.2,3.9
18381.0,27.2,16.7,4.7
9866.0,19.1,22.6,3.9
11747.0,27.1,19.5,4.4
16988.0,28.0,17.4,5.0
16634.0,20.5,19.3,4.2
11925.0,25.6,19.0,3.9
21027.0,26.0,16.9,4.8
21413.0,18.8,19.9,4.0
12044.0,27.3,18.8,3.6
32093.0,27.9,12.4,4.7
7943.0,22.5,19.8,4.1
12061.0,24.8,18.9,3.8
25731.0,27.2,15.2,4.9
23749.0,18.0,18.9,4.2
12182.0,24.5,19.0,3.4
14192.0,27.0,19.0,4.5
6612.0,21.8,21.1,4.3
12396.0,24.1,20.0,4.3
25952.0,24.5,17.2,4.9
23511.0,18.0,19.8,3.7
12542.0,24.5,17.5,4.1
16211.0,26.7,17.5,5.3
22348.0,18.8,19.5,4.4
12597.0,25.2,18.0,3.9
20799.0,26.7,17.4,5.2
64395.0,18.4,16.1,3.9
12667.0,21.1,19.8,4.4
20123.0,26.3,19.5,4.4
23476.0,19.3,17.9,4.0
12709.0,23.9,19.7,3.1
16256.0,29.2,16.3,4.5
20025.0,19.7,19.5,4.1
13045.0,25.3,18.7,3.7
17312.0,27.9,17.1,4.7
21528.0,19.6,18.8,4.1
13084.0,25.0,18.5,3.9
18728.0,27.8,16.9,4.8
21451.0,18.5,19.0,4.0
13166.0,23.8,19.1,3.8
19178.0,27.4,16.9,4.4
23217.0,20.7,17.1,3.7
13198.0,25.1,18.4,3.4
17192.0,29.8,17.2,4.9
21546.0,18.2,17.7,3.7
13273.0,24.5,17.0,4.6
26353.0,29.1,16.4,4.7
21543.0,16.9,19.6,4.8
13405.0,27.4,14.7,2.9
19321.0,25.8,16.6,4.6
22221.0,19.3,18.1,3.9
13514.0,24.0,18.6,3.8
18873.0,26.2,17.8,4.5
20210.0,19.6,19.3,4.1
13611.0,24.5,19.6,3.3
24740.0,17.7,19.7,3.8
13659.0,24.2,18.0,3.5
17561.0,28.6,17.1,4.9
21552.0,19.2,19.5,4.0
13730.0,25.5,18.6,3.7
18751.0,26.9,17.9,4.7
24966.0,17.6,19.5,3.9
13745.0,23.7,18.4,3.6
20160.0,26.2,17.4,5.0
25538.0,19.9,18.4,3.2
13929.0,25.6,18.8,3.7
21032.0,26.7,16.4,4.3
35162.0,17.7,18.7,3.7
13953.0,22.5,19.2,4.2
22723.0,26.6,14.5,5.0
46587.0,19.9,16.0,3.6
14164.0,28.8,15.4,3.3
17699.0,30.8,13.1,4.6
13551.0,22.4,19.2,4.0
14414.0,26.7,18.3,3.7
25181.0,28.5,16.6,4.8
11921.0,21.1,19.1,4.1
14422.0,27.5,16.1,3.8
59282.0,22.9,16.1,4.9
23695.0,19.4,19.5,3.8
14786.0,22.7,19.0,4.0
20567.0,26.6,17.4,4.5
20734.0,19.7,18.8,4.0
15043.0,26.1,19.2,3.7
18317.0,29.4,17.0,4.8
24833.0,18.7,18.8,3.9
15308.0,26.4,17.5,2.8
24427.0,17.9,19.2,4.0
15492.0,24.4,18.5,4.0
22378.0,26.3,17.0,4.7
53440.0,19.4,18.9,3.7
15646.0,25.6,19.0,3.2
19664.0,31.2,17.7,4.3
30011.0,15.9,19.2,4.3
16017.0,25.6,17.6,3.7
23727.0,24.7,19.0,4.7
27807.0,20.4,17.1,3.3
16193.0,24.9,18.5,3.9
23212.0,27.6,15.1,4.7
33542.0,16.7,18.8,4.3
16238.0,24.0,18.3,3.2
20530.0,26.6,17.5,4.8
25940.0,18.5,18.8,4.1
16929.0,24.4,18.7,3.8
22769.0,27.2,17.0,4.5
29791.0,17.2,20.6,3.9
16986.0,25.3,18.4,3.3
28064.0,24.0,14.9,5.0
23890.0,18.5,18.1,3.8
17246.0,24.9,18.1,3.4
35445.0,26.5,15.1,4.5
28872.0,19.6,17.1,4.0
17552.0,24.2,17.9,3.9
20949.0,25.7,17.4,4.7
28886.0,19.4,17.7,3.8
17557.0,24.1,18.4,3.0
22700.0,27.7,17.0,4.6
48094.0,16.4,17.9,3.9
17867.0,21.4,19.8,3.7
22942.0,25.3,17.9,4.6
35044.0,17.0,19.2,3.7
17935.0,26.1,18.1,3.0
25016.0,27.3,16.6,5.0
60009.0,15.4,19.2,3.8
18038.0,22.0,18.4,4.2
17982.0,25.8,17.8,5.0
22388.0,19.2,18.0,3.4
18337.0,23.9,19.7,3.4
33932.0,22.5,19.0,5.4
5778.0,22.2,16.5,3.5
18764.0,21.0,17.5,4.8
12796.0,35.0,11.8,6.0
26010.0,17.2,20.8,4.8
18963.0,27.3,15.9,4.1
26195.0,25.1,17.8,3.8
27287.0,16.4,19.1,4.5
19494.0,20.8,18.4,4.0
25022.0,27.6,16.6,5.0
33437.0,17.4,18.0,3.8
19536.0,24.3,18.0,3.5
25407.0,24.1,18.8,4.5
33670.0,13.9,17.9,4.1
36314.0,16.5,19.6,4.2
20485.0,22.9,18.8,3.4
32520.0,24.7,18.0,4.8
29773.0,17.2,19.0,4.0
20567.0,22.9,18.6,3.6
27712.0,26.1,17.1,4.6
17678.0,18.7,20.8,4.5
20760.0,25.5,17.5,4.3
35621.0,17.2,18.5,3.9
21116.0,23.4,18.6,3.5
26586.0,25.9,16.5,4.8
20170.0,18.6,16.8,3.9
21272.0,23.3,17.3,2.5
33271.0,23.3,18.3,4.6
32985.0,18.5,18.5,3.8
21410.0,23.5,18.0,3.9
27255.0,27.5,16.1,4.5
23324.0,19.9,18.4,4.2
21484.0,23.1,18.4,2.9
38266.0,25.0,14.0,4.8
31633.0,18.1,19.6,4.1
21681.0,24.2,17.7,3.1
25161.0,24.4,18.7,4.6
27051.0,19.7,18.0,4.2
21857.0,22.5,18.1,3.4
33759.0,27.2,17.7,4.4
33736.0,16.5,18.7,4.2
22055.0,22.3,17.9,3.2
26950.0,28.5,14.1,4.9
37495.0,16.7,18.7,3.8
22112.0,23.0,18.2,3.0
32585.0,27.8,15.9,4.4
39769.0,20.2,15.0,3.8
22709.0,25.2,16.4,3.4
26892.0,28.9,17.5,4.8
34346.0,16.7,19.3,4.5
23096.0,23.5,17.9,3.8
29836.0,25.2,18.0,4.5
34194.0,17.7,18.1,4.2
23105.0,22.9,18.6,4.0
37604.0,25.3,17.2,4.6
26772.0,17.6,19.1,4.3
23365.0,21.5,19.3,3.9
26412.0,18.6,18.7,4.0
23420.0,23.5,18.0,3.5
37956.0,24.3,16.8,4.9
29824.0,17.3,18.7,3.7
23926.0,22.4,18.8,3.6
35838.0,17.5,17.8,3.8
23940.0,23.3,17.7,3.6
30319.0,23.9,17.0,5.0
40388.0,16.2,19.4,3.5
24082.0,21.7,17.1,4.2
27134.0,24.9,17.8,4.6
35752.0,17.2,18.4,3.9
24202.0,22.5,18.3,3.8
30052.0,27.1,16.0,4.4
21769.0,20.2,18.5,4.2
24280.0,22.5,18.6,4.2
67407.0,22.7,16.7,4.5
35238.0,19.9,17.4,3.8
24522.0,24.8,16.6,3.6
46794.0,26.4,14.8,5.0
34188.0,15.3,19.8,3.9
24543.0,21.9,18.7,3.9
31270.0,24.7,17.5,4.6
41249.0,20.4,16.1,4.0
25347.0,23.2,17.4,2.9
30574.0,25.4,17.1,5.1
15884.0,20.9,19.3,4.2
25471.0,23.5,17.5,3.9
52363.0,24.4,15.1,4.7
36096.0,17.6,17.8,4.1
26062.0,22.3,18.2,3.7
32135.0,25.5,15.9,4.5
37541.0,16.7,18.5,3.9
26208.0,22.3,18.1,3.9
31550.0,25.6,16.4,4.5
38298.0,17.3,18.0,3.8
26643.0,22.5,18.6,3.5
33164.0,25.9,16.6,4.5
46383.0,14.4,18.7,3.7
26848.0,25.4,17.8,2.8
30467.0,25.6,17.8,4.8
62608.0,15.5,18.0,4.2
27335.0,19.8,17.8,5.5
30134.0,26.0,19.8,4.8
42932.0,15.8,20.2,4.0
28117.0,23.2,16.9,3.3
49220.0,22.0,16.3,4.6
38514.0,18.0,17.2,3.9
28155.0,21.5,18.6,3.6
38395.0,23.8,16.6,4.7
40648.0,14.3,17.7,4.2
28294.0,23.5,18.1,3.6
66127.0,21.9,16.8,4.2
39338.0,16.0,18.4,4.0
28382.0,21.7,18.5,3.5
36972.0,25.1,16.4,4.7
41263.0,15.8,18.4,4.0
28668.0,22.2,17.7,3.6
34834.0,24.8,16.5,4.6
41290.0,16.1,18.5,3.9
28789.0,22.3,18.3,3.7
36180.0,26.0,15.3,4.5
79788.0,14.7,18.6,4.1
29219.0,22.3,18.0,3.5
61773.0,21.8,18.1,4.5
54710.0,15.2,19.2,3.9
29403.0,22.3,18.3,3.3
38348.0,21.6,18.1,5.3
49929.0,13.2,19.3,3.8
29475.0,23.5,18.9,2.5
33670.0,24.4,17.4,4.4
35666.0,15.4,19.4,4.9
29695.0,21.3,18.4,3.8
34300.0,27.3,15.4,4.6
44852.0,16.5,17.2,4.1
29746.0,23.9,16.2,3.9
31453.0,15.0,19.6,4.3
29968.0,22.8,17.2,4.2
45414.0,22.2,17.8,4.6
17270.0,21.3,21.2,3.5
30154.0,28.4,12.8,3.0
57559.0,23.2,15.8,4.8
197465.0,11.0,13.6,3.4
30403.0,25.6,16.5,3.4
48750.0,24.6,16.1,5.2
234590.0,10.6,10.6,3.6
30421.0,23.4,16.1,4.8
110274.0,22.3,14.1,4.4
29016.0,20.0,18.2,4.3
31337.0,24.6,15.6,3.8
110136.0,20.1,15.1,4.6
33420.0,17.1,19.2,4.2
31354.0,21.7,18.4,3.7
49721.0,23.6,16.8,4.6
44596.0,15.0,17.0,4.0
31849.0,22.5,17.7,2.9
41183.0,23.5,15.8,4.3
32952.0,17.7,18.8,4.0
32305.0,22.5,16.6,3.5
51715.0,22.9,16.0,4.7
41830.0,18.7,16.2,4.2
32608.0,24.0,16.0,3.1
57603.0,23.7,14.1,5.3
43254.0,16.5,17.9,3.8
33447.0,21.7,17.8,3.6
39504.0,26.1,15.6,4.4
46886.0,16.2,18.2,4.0
33660.0,23.0,16.9,3.5
40358.0,27.0,15.0,4.4
38752.0,18.1,18.2,3.2
33677.0,21.5,14.5,5.4
62315.0,24.7,12.0,5.1
42727.0,18.6,16.0,3.6
33818.0,21.6,16.1,4.3
38046.0,28.9,15.4,4.7
35297.0,17.2,17.6,3.9
34177.0,18.8,19.1,4.1
57879.0,23.2,15.1,4.2
35015.0,16.1,19.0,3.8
34333.0,21.6,17.0,3.6
57612.0,22.2,15.8,4.9
46256.0,15.0,18.5,3.9
34343.0,21.5,18.2,3.4
44120.0,23.9,16.2,4.8
46014.0,15.5,18.3,3.8
34545.0,21.2,17.6,3.6
44760.0,24.2,16.4,4.6
41748.0,15.7,18.4,4.1
45089.0,16.5,17.5,3.8
35363.0,21.5,17.1,3.6
44203.0,24.4,15.1,4.4
27406.0,17.3,19.1,4.1
36052.0,20.1,18.0,3.9
53669.0,21.1,17.4,4.7
49032.0,13.2,18.8,4.2
36631.0,20.2,19.3,5.0
62436.0,23.5,14.6,4.4
40038.0,16.9,18.0,3.9
37126.0,20.5,18.4,3.7
51481.0,23.6,16.8,4.6
49211.0,15.2,17.9,3.8
37157.0,21.7,17.2,3.4
46168.0,23.5,16.6,4.5
55785.0,14.2,17.6,3.4
37655.0,19.1,17.6,4.2
44710.0,22.8,17.5,4.6
60800.0,12.4,19.0,4.0
37795.0,21.9,15.9,3.2
73672.0,21.3,17.0,4.9
52575.0,16.5,17.7,3.3
38028.0,24.9,16.4,3.6
41686.0,28.8,15.2,4.6
20752.0,20.1,18.3,3.9
38246.0,21.9,16.3,4.0
66564.0,21.7,15.4,4.8
45155.0,13.0,19.4,4.2
38702.0,20.6,19.0,2.7
65553.0,23.0,14.2,5.2
50520.0,15.6,18.7,3.9
38705.0,22.1,17.5,3.4
44593.0,25.8,15.8,4.4
98909.0,11.3,19.0,4.0
39017.0,24.0,17.5,3.4
36785.0,15.0,18.7,4.1
39034.0,22.6,16.3,3.0
61397.0,18.9,16.3,4.3
51526.0,15.2,17.5,3.8
39244.0,21.1,17.4,3.5
49317.0,23.8,15.6,4.5
28368.0,18.3,17.8,3.9
39660.0,21.3,16.7,3.5
64704.0,20.6,16.3,4.6
51371.0,14.4,18.9,3.9
40167.0,20.8,18.4,3.6
44013.0,22.6,17.6,4.6
51696.0,15.6,17.7,4.0
40730.0,22.0,17.2,3.5
50666.0,25.1,14.6,4.5
23889.0,19.0,19.0,4.3
41341.0,20.1,19.0,3.0
51863.0,26.4,15.9,4.4
51880.0,15.8,17.2,3.8
41725.0,22.2,16.1,3.5
42332.0,24.9,15.5,4.6
53211.0,14.9,18.4,4.0
42043.0,20.8,17.6,3.6
52503.0,23.5,16.0,4.4
43313.0,16.5,18.6,4.0
42546.0,21.1,17.7,3.7
76170.0,21.3,16.0,4.8
55697.0,17.1,17.0,3.8
42556.0,22.9,16.6,3.6
49239.0,26.6,15.2,4.6
64012.0,14.4,16.8,3.9
42838.0,21.4,17.0,3.3
62190.0,27.2,13.1,3.6
76062.0,16.4,18.7,3.9
42977.0,23.1,17.8,3.6
40098.0,26.9,16.9,4.6
66267.0,14.8,18.1,3.4
42990.0,19.4,16.8,3.3
65275.0,23.3,15.3,5.3
56481.0,14.6,17.5,3.8
43977.0,21.6,16.8,3.1
49637.0,24.3,15.5,4.4
40342.0,15.7,18.2,3.9
44129.0,20.8,16.9,3.7
62995.0,21.8,15.9,4.8
56815.0,14.2,18.0,3.8
44251.0,20.5,17.4,3.4
55675.0,22.8,16.0,4.5
45192.0,15.8,18.6,4.1
44804.0,20.7,18.0,2.8
51788.0,21.0,17.9,5.1
58775.0,15.4,16.7,3.7
45703.0,21.9,16.1,3.4
43860.0,26.5,15.2,4.5
27248.0,22.1,16.8,4.3
46596.0,19.8,17.4,3.5
71584.0,24.2,16.5,5.4
54877.0,14.6,18.2,3.8
46673.0,19.9,17.8,3.6
53146.0,23.6,16.3,4.5
60275.0,13.9,17.7,3.7
47627.0,20.8,17.2,3.4
57484.0,23.3,15.9,4.5
54212.0,14.4,18.9,4.0
47685.0,21.8,16.2,3.7
48835.0,24.9,18.0,4.6
54459.0,14.3,18.8,3.8
48139.0,19.5,18.2,3.4
56473.0,22.3,16.1,4.6
